State_Name,Incident_Count,Total_Schools_Impacted,Total_Students_Impacted,Total_Students_Impacted_Duplicated,Total_Public_Schools,Total_Students_Enrolled,% Students Impacted,% Schools Impacted
ALABAMA,19,362,201944,253923,1516,750923,26.892771,23.878628
ALASKA,2,129,56430,56430,498,130723,43.167614,25.903614
ARIZONA,36,299,207390,260149,2429,1132223,18.317063,12.309592
ARKANSAS,7,85,42875,42875,1098,493031,8.696208,7.741348
CALIFORNIA,166,3180,1997653,3200419,10327,5851877,34.136962,30.793067
COLORADO,23,982,508498,536983,1932,870871,58.389589,50.828157
CONNECTICUT,45,357,193544,255579,1013,513513,37.690185,35.241856
DELAWARE,1,1,968,968,229,141465,0.684268,0.436681
DISTRICT OF COLUMBIA,2,116,49687,99374,244,91001,54.600499,47.540984
FLORIDA,43,3062,2113740,4488117,4230,2870527,73.635956,72.387707
GEORGIA,28,902,816826,1347350,2316,1750972,46.649861,38.946459
HAWAII,12,306,174875,174875,306,174875,102.741336,103.728814
IDAHO,12,111,49408,67193,795,317359,15.568489,13.962264
ILLINOIS,87,1240,707646,2991210,4408,1852242,38.204835,28.130672
INDIANA,19,143,96110,112182,1921,1036108,9.27606,7.44404
IOWA,29,291,147307,147307,1327,511297,28.810457,21.929164
KANSAS,7,92,52305,55730,1355,487978,10.718721,6.789668
KENTUCKY,12,353,188906,198703,1542,660029,28.620864,22.892348
LOUISIANA,18,483,270142,353147,1337,718145,37.616637,36.125654
MAINE,12,39,13537,13537,597,173853,7.786463,6.532663
MARYLAND,15,1101,715875,1530783,1410,889960,80.439008,78.085106
MASSACHUSETTS,43,448,219396,250111,1837,923349,23.760896,24.387588
MICHIGAN,35,293,138482,138482,3510,1433779,9.658532,8.347578
MINNESOTA,24,358,166240,226358,2690,870019,19.107629,13.30855
MISSISSIPPI,12,153,60441,60441,1038,440285,13.727699,14.739884
MISSOURI,30,380,198333,217022,2473,892246,22.228511,15.365952
MONTANA,14,69,23252,30284,826,150098,15.491212,8.353511
NEBRASKA,4,54,24395,24395,1092,329234,7.409624,4.945055
NEVADA,9,510,383283,1996661,748,484192,79.1593,68.181818
NEW HAMPSHIRE,10,71,32146,32146,502,168447,19.083747,14.143426
NEW JERSEY,37,318,203853,275448,2562,1383785,14.731552,12.412178
NEW MEXICO,17,373,178647,342585,890,315023,56.709193,41.910112
NEW YORK,207,857,480420,734455,4836,2534685,18.953835,17.721257
NORTH CAROLINA,39,1322,854921,1840626,2716,1541722,55.452345,48.674521
NORTH DAKOTA,10,98,44141,72596,511,118513,37.245703,19.178082
OHIO,44,652,329741,498766,3632,1680639,19.619978,17.951542
OKLAHOMA,16,201,133670,246465,1781,701301,19.060289,11.285794
OREGON,22,416,231847,339462,1286,552325,41.976554,32.348367
PENNSYLVANIA,50,509,298393,444437,2936,1693347,17.621492,17.336512
RHODE ISLAND,2,14,7672,7672,316,137449,5.581707,4.43038
SOUTH CAROLINA,20,412,297395,402649,1264,789231,37.681617,32.594937
SOUTH DAKOTA,1,6,3036,3036,720,141377,2.14745,0.833333
TENNESSEE,6,198,135172,135172,1900,1006752,13.426544,10.421053
TEXAS,190,3501,2490557,3833629,9180,5519599,45.122064,38.137255
UTAH,5,249,192284,253481,1102,691906,27.79048,22.595281
VERMONT,5,32,9925,9925,305,83654,11.864346,10.491803
VIRGINIA,32,821,622352,1360416,2132,1260351,49.37926,38.508443
WASHINGTON,64,1095,549871,730569,2549,1090227,50.436377,42.958023
WEST VIRGINIA,6,148,52893,52893,684,251224,21.054119,21.637427
WISCONSIN,22,190,83529,112069,2235,823040,10.148838,8.501119
WYOMING,2,28,13275,13275,361,92467,14.356473,7.756233